,index,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,PopularityUS2017
0,247,Retrievers (Labrador),Sporting,Gun,32.0,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500.0,7.0,3.0,1.0
1,242,German Shepherd Dogs,Herding,Herding,35.0,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400.0,3.0,6.0,2.0
2,192,Retriever,Sporting,Gun,32.0,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500.0,4.0,3.0,3.0
3,111,Golden Retriever,Sporting,Gun,32.0,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500.0,4.0,3.0,3.0
4,102,French Bulldog,Non Sporting,Companion,12.0,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",3000.0,58.0,3.0,4.0
5,84,English Bulldog,Non Sporting,Companion,25.0,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",1600.0,77.0,3.0,5.0
6,20,Beagle,Hound,Scenthound,11.0,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650.0,72.0,1.0,6.0
7,182,Standard Poodle,Non Sporting,Gun,26.0,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250.0,2.0,4.0,7.0
8,181,Poodle,Non Sporting,Gun,26.0,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250.0,2.0,4.0,7.0
9,194,Rottweiler,Working,Guardian,51.0,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",1600.0,9.0,6.0,8.0
10,248,Yorkshire Terrier Yorkie,Toy,Companion,3.0,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",800.0,27.0,3.0,9.0
11,106,German Shorthaired Pointer,Working,Gun,29.0,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",700.0,17.0,3.0,10.0
12,44,Boxer,Working,Guardian,30.0,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",900.0,49.0,5.0,11.0
13,213,German Shepherd Dogs,Working,Northern,24.0,"Alert, Friendly, Gentle, Intelligent, Outgoing",950.0,45.0,1.0,12.0
14,75,Dachshund,Hound,Scenthound,7.0,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",600.0,49.0,3.0,13.0
15,113,Great Dane,Working,Guardian,77.0,"Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved",1000.0,48.0,5.0,14.0
16,80,Doberman Pinscher,Working,Guardian,43.0,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",900.0,5.0,6.0,16.0
17,16,Australian Shepherd,Terrier,Terrier,27.0,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700.0,42.0,5.0,17.0
18,200,Miniature Schnauzer,Terrier,Companion,8.0,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",800.0,,,18.0
19,58,Cavalier King Charles Spaniel,Toy,Companion,7.0,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",1350.0,44.0,2.0,19.0
20,212,Shih Tzu,Toy,Companion,6.0,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",1000.0,70.0,3.0,20.0
21,42,Boston Terrier,Non Sporting,Companion,9.0,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",750.0,54.0,3.0,21.0
22,180,Pomeranian,Toy,Companion,2.0,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",700.0,23.0,3.0,22.0
23,118,Havanese,Toy,Companion,5.0,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",1050.0,,3.0,23.0
24,210,Shetland Sheepdog Sheltie,Herding,Herding,9.0,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",900.0,6.0,4.0,24.0
25,28,Bernese Mountain Dog,Working,Guardian,44.0,"Affectionate, Faithful, Intelligent, Loyal",900.0,22.0,5.0,25.0
26,156,Mountain Dog,Working,Guardian,44.0,"Affectionate, Faithful, Intelligent, Loyal",900.0,22.0,5.0,25.0
27,47,Brittany Spaniel,Sporting,Gun,17.0,"Alert, Independent, Intelligent, Responsive, Social",750.0,19.0,3.0,26.0
28,90,English Springer Spaniel,Sporting,Gun,23.0,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",750.0,13.0,3.0,27.0
29,152,Mastiff,Working,Guardian,90.0,"Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective",1350.0,72.0,6.0,28.0
30,69,Cocker Spaniel,Sporting,Gun,10.0,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700.0,20.0,3.0,29.0
31,219,Spaniel,Sporting,Gun,10.0,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700.0,20.0,3.0,29.0
32,232,Vizsla,Sporting,Gun,21.0,"Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet",1000.0,,3.0,30.0
33,187,Pug,Toy,Companion,8.0,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",400.0,57.0,3.0,31.0
34,60,Chihuahua,Toy,Companion,2.0,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",700.0,67.0,2.0,32.0
35,149,Maltese,Toy,Companion,4.0,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered",700.0,59.0,3.0,33.0
36,233,Weimaraner,Sporting,Gun,29.0,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",1750.0,21.0,3.0,34.0
37,160,Newfoundland Dog,Working,Guardian,65.0,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",1750.0,34.0,5.0,36.0
38,53,Cane Corso Mastiff,Working,Guardian,47.0,"Cheerful, Courageous, Loyal, Quiet, Social",1750.0,,6.0,37.0
39,39,Border Collie,Herding,Herding,17.0,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",700.0,1.0,6.0,38.0
